exposure,exposure_group,outcome,outcome_label,outcome_group,n,beta,se,p,d1_pass,beta_L0,beta_L0_L1,beta_full,d4a_rel_shift,d4a_sign_stable,d4a_pass,d4b_beta_levels,d4b_beta_trajectory,d4b_abs_shift,d4b_pct_attenuation,beta_no_ahpvt,se_no_ahpvt,p_no_ahpvt,d1_q
FRIEND_CONTACT_SUM,friendship_grid,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,3456,-0.0007473168501505947,0.004209264524808245,0.8593577261586025,False,0.002044944493470535,0.001108401902132788,-0.0007473168501505947,0.8449485602069531,True,False,0.001108401902132788,-0.0007473168501505947,0.0018557187522833826,0.3257708700132984,,,,0.9877576717173318
FRIEND_CONTACT_SUM,friendship_grid,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,3455,-0.002085340304701615,0.0012586686260879357,0.09995663436346916,False,-0.002421214335594846,-0.002684508204125056,-0.002085340304701615,0.0980789956706517,True,True,-0.002684508204125056,-0.002085340304701615,0.0005991678994234414,0.22319466131738797,-0.002684508204125056,0.0012037490739841205,0.027441379235011467,0.38614762248589785
FRIEND_CONTACT_SUM,friendship_grid,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,3417,0.03240946247038496,0.008431073731862556,0.00018791166657484336,True,0.03644323511542502,0.03926116450835456,0.03240946247038496,0.07177396361562072,True,True,0.03926116450835456,0.03240946247038496,0.006851702037969601,0.17451601662277738,0.03926116450835456,0.008287931919923943,5.556109210405234e-06,0.0011274699994490603
FRIEND_DISCLOSURE_ANY,friendship_grid,H4BMI,S27 BMI—W4,cardiometabolic,4665,0.02258977692137229,0.2774986432169321,0.9352441154051856,False,-0.05950137296019721,-0.08379737425204392,0.02258977692137229,0.2899375011294474,True,True,-0.08379737425204392,0.02258977692137229,0.10638715117341621,0.7304238095405322,,,,0.9705162251586484
FRIEND_DISCLOSURE_ANY,friendship_grid,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.7315041092784627,0.48700975176831607,0.13549559238321518,False,0.6275022980476188,0.6117196576800619,0.7315041092784627,0.025800446608847564,True,True,0.6117196576800619,0.7315041092784627,0.11978445159840079,-0.19581592661691083,,,,0.6888391576744926
FRIEND_DISCLOSURE_ANY,friendship_grid,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,4609,0.43062189744998397,0.3617088507250693,0.23599464776766174,False,0.4450086943699971,0.420927040750559,0.43062189744998397,0.05721099213891777,True,True,0.420927040750559,0.43062189744998397,0.009694856699424992,-0.023032154651167147,,,,0.7320406064578795
FRIEND_DISCLOSURE_ANY,friendship_grid,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,4689,-0.17335508316648557,0.6990044316587565,0.8045205345442776,False,-0.38243602571401014,-0.4340252374261952,-0.17335508316648557,0.1188622394820017,True,True,-0.4340252374261952,-0.17335508316648557,0.26067015425970963,0.600587550635315,,,,0.8394996882201158
FRIEND_DISCLOSURE_ANY,friendship_grid,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,4665,0.003671610740707232,0.046499627703744675,0.9371849239619955,False,-0.008741127746268788,-0.011921341076620226,0.003671610740707232,0.26676640739592433,True,True,-0.011921341076620226,0.003671610740707232,0.015592951817327458,0.6920136151537611,,,,0.944067323210546
FRIEND_DISCLOSURE_ANY,friendship_grid,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,3387,0.04147188216833819,0.053445565210156025,0.43916838227510835,False,0.10949386595567531,0.0676599541559054,0.04147188216833819,0.6182964845553126,True,False,0.0676599541559054,0.04147188216833819,0.026188071987567202,0.3870542378320765,,,,0.5855578430334778
FRIEND_DISCLOSURE_ANY,friendship_grid,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,3381,0.08083787847411575,0.04766712111341419,0.0922832662991016,False,0.03887325397344685,0.09254859208936703,0.08083787847411575,0.5799692561945194,True,False,0.09254859208936703,0.08083787847411575,0.011710713615251278,0.12653583756242504,,,,0.20134530828894892
